name,displayName,title,icon,module,path
"orchestrator","Gaia","Master Orchestrator","🌍","core","_gaia/core/agents/orchestrator.md"
"analyst","Elena","Strategic Business Analyst","📊","lifecycle","_gaia/lifecycle/agents/analyst.md"
"pm","Derek","Product Manager","📋","lifecycle","_gaia/lifecycle/agents/pm.md"
"architect","Theo","System Architect","🏗️","lifecycle","_gaia/lifecycle/agents/architect.md"
"ux-designer","Christy","UX Designer","🎨","lifecycle","_gaia/lifecycle/agents/ux-designer.md"
"sm","Nate","Scrum Master","🏃","lifecycle","_gaia/lifecycle/agents/sm.md"
"qa","Vera","QA Engineer","🧪","lifecycle","_gaia/lifecycle/agents/qa.md"
"tech-writer","Iris","Technical Writer","📚","lifecycle","_gaia/lifecycle/agents/tech-writer.md"
"_base-dev","(abstract)","Base Developer","💻","dev","_gaia/dev/agents/_base-dev.md"
"typescript-dev","Cleo","TypeScript Developer","💻","dev","_gaia/dev/agents/typescript-dev.md"
"angular-dev","Lena","Angular Developer","💻","dev","_gaia/dev/agents/angular-dev.md"
"flutter-dev","Freya","Flutter Developer","💻","dev","_gaia/dev/agents/flutter-dev.md"
"java-dev","Hugo","Java Developer","💻","dev","_gaia/dev/agents/java-dev.md"
"python-dev","Ravi","Python Developer","💻","dev","_gaia/dev/agents/python-dev.md"
"mobile-dev","Talia","Mobile Developer","📱","dev","_gaia/dev/agents/mobile-dev.md"
"brainstorming-coach","Rex","Brainstorming Facilitator","🧠","creative","_gaia/creative/agents/brainstorming-coach.md"
"problem-solver","Nova","Problem-Solving Expert","🔬","creative","_gaia/creative/agents/problem-solver.md"
"design-thinking-coach","Lyra","Design Thinking Expert","🎨","creative","_gaia/creative/agents/design-thinking-coach.md"
"innovation-strategist","Orion","Innovation Strategist","⚡","creative","_gaia/creative/agents/innovation-strategist.md"
"storyteller","Elara","Master Storyteller","📖","creative","_gaia/creative/agents/storyteller.md"
"presentation-designer","Vermeer","Presentation Designer","🎨","creative","_gaia/creative/agents/presentation-designer.md"
"test-architect","Sable","Master Test Architect","🧪","testing","_gaia/testing/agents/test-architect.md"
"security","Zara","Application Security Expert","🔒","lifecycle","_gaia/lifecycle/agents/security.md"
"devops","Soren","DevOps/SRE Engineer","🚀","lifecycle","_gaia/lifecycle/agents/devops.md"
"data-engineer","Milo","Data Pipeline Architect","📊","lifecycle","_gaia/lifecycle/agents/data-engineer.md"
"performance","Juno","Performance Specialist","⚡","lifecycle","_gaia/lifecycle/agents/performance.md"
"validator","Val","Artifact Validator","🔍","lifecycle","_gaia/lifecycle/agents/validator.md"
